Cut,36.1/fb_weighted_yield,uncertainty,raw,PDG_rounded_yield,PDG_rounded_uncertainty
trigMatch_metTrig,0.000,0.000,0,0.0,0.0
nLep_base==2,0.000,0.000,0,0.0,0.0
nLep_signal==2,0.000,0.000,0,0.0,0.0
lep1Flavor == lep2Flavor,0.000,0.000,0,0.0,0.0
lep1Charge != lep2Charge,0.000,0.000,0,0.0,0.0
((lep1TruthMatched && lep2TruthMatched) || (DatasetNumber >= 407311 && DatasetNumber <= 407315)),0.000,0.000,0,0.0,0.0
(lep1Author != 16 && lep2Author != 16),0.000,0.000,0,0.0,0.0
met_Et>200,0.000,0.000,0,0.0,0.0
nBJet20_MV2c10 == 0,0.000,0.000,0,0.0,0.0
jetPt[0]>100,0.000,0.000,0,0.0,0.0
DPhiJ1Met > 2.0,0.000,0.000,0,0.0,0.0
minDPhiAllJetsMet > 0.4,0.000,0.000,0,0.0,0.0
(MTauTau < 0 || MTauTau > 160),0.000,0.000,0,0.0,0.0
lep1Pt > 5,0.000,0.000,0,0.0,0.0
mll > 1,0.000,0.000,0,0.0,0.0
(mll < 3 || mll > 3.2),0.000,0.000,0,0.0,0.0
mll < 60,0.000,0.000,0,0.0,0.0
METOverHTLep > max(5.0; 15 - 2*mll),0.000,0.000,0,0.0,0.0
Rll < 2,0.000,0.000,0,0.0,0.0
mt_lep1 < 70,0.000,0.000,0,0.0,0.0
mll < 40,0.000,0.000,0,0.0,0.0
mll < 30,0.000,0.000,0,0.0,0.0
mll < 20,0.000,0.000,0,0.0,0.0
mll < 10,0.000,0.000,0,0.0,0.0
mll < 5,0.000,0.000,0,0.0,0.0
mll < 3,0.000,0.000,0,0.0,0.0
METOverHTLep > max(3.0; 15 - 2*(mt2leplsp_100 - 100)),0.000,0.000,0,0.0,0.0
mt2leplsp_100 < 130,0.000,0.000,0,0.0,0.0
mt2leplsp_100 < 120,0.000,0.000,0,0.0,0.0
mt2leplsp_100 < 110,0.000,0.000,0,0.0,0.0
mt2leplsp_100 < 105,0.000,0.000,0,0.0,0.0
mt2leplsp_100 < 102,0.000,0.000,0,0.0,0.0
