Cut,36.1/fb_weighted_yield,uncertainty,raw,PDG_rounded_yield,PDG_rounded_uncertainty
trigMatch_metTrig,4555.296,22.800,60334,4555,23
nLep_base==2,4227.338,21.991,55908,4227,22
nLep_signal==2,4227.338,21.991,55908,4227,22
lep1Flavor == lep2Flavor,2154.994,15.864,28205,2155,16
lep1Charge != lep2Charge,2104.926,15.615,27637,2105,16
((lep1TruthMatched && lep2TruthMatched) || (DatasetNumber >= 407311 && DatasetNumber <= 407315)),2054.564,15.303,27089,2055,15
(lep1Author != 16 && lep2Author != 16),2037.899,15.246,26869,2038,15
met_Et>200,2037.899,15.246,26869,2038,15
nBJet20_MV2c10 == 0,142.241,3.743,2089,142,4
jetPt[0]>100,142.241,3.743,2089,142,4
DPhiJ1Met > 2.0,139.111,3.675,2049,139,4
minDPhiAllJetsMet > 0.4,116.365,3.379,1704,116.4,3.4
(MTauTau < 0 || MTauTau > 160),103.018,3.171,1516,103.0,3.2
lep1Pt > 5,103.018,3.171,1516,103.0,3.2
mll > 1,102.970,3.170,1515,103.0,3.2
(mll < 3 || mll > 3.2),102.970,3.170,1515,103.0,3.2
mll < 60,102.970,3.170,1515,103.0,3.2
METOverHTLep > max(5.0; 15 - 2*mll),33.860,1.798,509,33.9,1.8
Rll < 2,14.741,1.106,227,14.7,1.1
mt_lep1 < 70,4.879,0.680,70,4.9,0.7
mll < 40,3.915,0.567,60,3.9,0.6
mll < 30,3.047,0.501,48,3.0,0.5
mll < 20,1.772,0.380,27,1.8,0.4
mll < 10,0.288,0.130,5,0.29,0.13
mll < 5,0.000,0.000,0,0.0,0.0
mll < 3,0.000,0.000,0,0.0,0.0
METOverHTLep > max(3.0; 15 - 2*(mt2leplsp_100 - 100)),62.693,2.409,935,62.7,2.4
mt2leplsp_100 < 130,54.937,2.211,830,54.9,2.2
mt2leplsp_100 < 120,39.846,1.924,594,39.8,1.9
mt2leplsp_100 < 110,16.136,1.226,253,16.1,1.2
mt2leplsp_100 < 105,3.170,0.468,53,3.2,0.5
mt2leplsp_100 < 102,0.574,0.207,9,0.57,0.21
