Cut,36.1/fb_weighted_yield,uncertainty,raw,PDG_rounded_yield,PDG_rounded_uncertainty
trigMatch_metTrig,39.737,0.858,3231,39.7,0.9
nLep_base==2,35.609,0.816,2902,35.6,0.8
nLep_signal==2,35.609,0.816,2902,35.6,0.8
lep1Flavor == lep2Flavor,31.019,0.777,2426,31.0,0.8
lep1Charge != lep2Charge,30.100,0.764,2362,30.1,0.8
((lep1TruthMatched && lep2TruthMatched) || (DatasetNumber >= 407311 && DatasetNumber <= 407315)),30.071,0.764,2358,30.1,0.8
(lep1Author != 16 && lep2Author != 16),29.960,0.763,2350,30.0,0.8
met_Et>200,29.960,0.763,2350,30.0,0.8
nBJet20_MV2c10 == 0,23.721,0.631,1993,23.7,0.6
jetPt[0]>100,23.721,0.631,1993,23.7,0.6
DPhiJ1Met > 2.0,23.516,0.628,1975,23.5,0.6
minDPhiAllJetsMet > 0.4,21.948,0.610,1830,21.9,0.6
(MTauTau < 0 || MTauTau > 160),18.521,0.554,1551,18.5,0.6
lep1Pt > 5,18.421,0.553,1542,18.4,0.6
mll > 1,18.285,0.551,1531,18.3,0.6
(mll < 3 || mll > 3.2),18.054,0.548,1509,18.1,0.5
mll < 60,18.054,0.548,1509,18.1,0.5
METOverHTLep > max(5.0; 15 - 2*mll),15.804,0.511,1338,15.8,0.5
Rll < 2,13.852,0.480,1148,13.9,0.5
mt_lep1 < 70,9.895,0.395,853,9.9,0.4
mll < 40,9.895,0.395,853,9.9,0.4
mll < 30,9.883,0.395,851,9.9,0.4
mll < 20,9.739,0.392,836,9.7,0.4
mll < 10,7.018,0.344,581,7.02,0.34
mll < 5,1.696,0.164,149,1.70,0.16
mll < 3,0.398,0.081,35,0.40,0.08
METOverHTLep > max(3.0; 15 - 2*(mt2leplsp_100 - 100)),17.330,0.541,1426,17.3,0.5
mt2leplsp_100 < 130,16.699,0.533,1375,16.7,0.5
mt2leplsp_100 < 120,15.523,0.511,1296,15.5,0.5
mt2leplsp_100 < 110,11.471,0.435,980,11.5,0.4
mt2leplsp_100 < 105,5.808,0.309,501,5.81,0.31
mt2leplsp_100 < 102,1.163,0.135,109,1.16,0.13
