Cut,36.1/fb_weighted_yield,uncertainty,raw,PDG_rounded_yield,PDG_rounded_uncertainty
trigMatch_metTrig,622.090,13.715,21626,622,14
nLep_base==2,608.381,13.611,20841,608,14
nLep_signal==2,608.381,13.611,20841,608,14
lep1Flavor == lep2Flavor,300.625,9.985,10326,301,10
lep1Charge != lep2Charge,297.049,9.956,10151,297,10
((lep1TruthMatched && lep2TruthMatched) || (DatasetNumber >= 407311 && DatasetNumber <= 407315)),291.739,9.915,9926,292,10
(lep1Author != 16 && lep2Author != 16),288.520,9.885,9777,289,10
met_Et>200,288.520,9.885,9777,289,10
nBJet20_MV2c10 == 0,218.355,8.988,7570,218,9
jetPt[0]>100,218.355,8.988,7570,218,9
DPhiJ1Met > 2.0,216.140,8.976,7418,216,9
minDPhiAllJetsMet > 0.4,203.354,8.891,6545,203,9
(MTauTau < 0 || MTauTau > 160),35.738,5.539,1192,36,6
lep1Pt > 5,35.738,5.539,1192,36,6
mll > 1,33.709,5.254,1190,34,5
(mll < 3 || mll > 3.2),33.679,5.254,1189,34,5
mll < 60,33.679,5.254,1189,34,5
METOverHTLep > max(5.0; 15 - 2*mll),7.830,4.108,276,8,4
Rll < 2,6.754,4.047,254,7,4
mt_lep1 < 70,6.398,4.034,241,6,4
mll < 40,6.316,4.033,239,6,4
mll < 30,5.977,4.028,234,6,4
mll < 20,4.477,4.000,191,4,4
mll < 10,-1.049,3.864,53,-1,4
mll < 5,0.731,0.462,11,0.7,0.5
mll < 3,0.517,0.436,5,0.5,0.4
METOverHTLep > max(3.0; 15 - 2*(mt2leplsp_100 - 100)),19.222,4.699,571,19,5
mt2leplsp_100 < 130,19.222,4.699,571,19,5
mt2leplsp_100 < 120,19.222,4.699,571,19,5
mt2leplsp_100 < 110,12.858,4.273,381,13,4
mt2leplsp_100 < 105,0.184,3.933,95,0,4
mt2leplsp_100 < 102,0.815,0.459,9,0.8,0.5
