Cut,36.1/fb_weighted_yield,uncertainty,raw,PDG_rounded_yield,PDG_rounded_uncertainty
trigMatch_metTrig,122.746,3.424,1882,122.7,3.4
nLep_base==2,96.513,2.925,1501,96.5,2.9
nLep_signal==2,96.513,2.925,1501,96.5,2.9
lep1Flavor == lep2Flavor,64.091,2.280,1010,64.1,2.3
lep1Charge != lep2Charge,55.120,2.111,868,55.1,2.1
((lep1TruthMatched && lep2TruthMatched) || (DatasetNumber >= 407311 && DatasetNumber <= 407315)),53.968,2.089,851,54.0,2.1
(lep1Author != 16 && lep2Author != 16),53.812,2.087,848,53.8,2.1
met_Et>200,53.812,2.087,848,53.8,2.1
nBJet20_MV2c10 == 0,22.221,1.281,394,22.2,1.3
jetPt[0]>100,22.221,1.281,394,22.2,1.3
DPhiJ1Met > 2.0,20.981,1.248,372,21.0,1.2
minDPhiAllJetsMet > 0.4,17.438,1.105,316,17.4,1.1
(MTauTau < 0 || MTauTau > 160),15.805,1.061,287,15.8,1.1
lep1Pt > 5,15.805,1.061,287,15.8,1.1
mll > 1,15.805,1.061,287,15.8,1.1
(mll < 3 || mll > 3.2),15.662,1.051,286,15.7,1.1
mll < 60,15.662,1.051,286,15.7,1.1
METOverHTLep > max(5.0; 15 - 2*mll),7.892,0.769,150,7.9,0.8
Rll < 2,5.583,0.671,105,5.6,0.7
mt_lep1 < 70,3.012,0.566,52,3.0,0.6
mll < 40,2.913,0.561,50,2.9,0.6
mll < 30,2.681,0.549,46,2.7,0.5
mll < 20,1.305,0.262,27,1.30,0.26
mll < 10,0.366,0.136,8,0.37,0.14
mll < 5,0.000,0.000,0,0.0,0.0
mll < 3,0.000,0.000,0,0.0,0.0
METOverHTLep > max(3.0; 15 - 2*(mt2leplsp_100 - 100)),11.879,0.918,223,11.9,0.9
mt2leplsp_100 < 130,9.673,0.814,189,9.7,0.8
mt2leplsp_100 < 120,8.179,0.768,158,8.2,0.8
mt2leplsp_100 < 110,4.266,0.615,80,4.3,0.6
mt2leplsp_100 < 105,1.683,0.496,27,1.7,0.5
mt2leplsp_100 < 102,0.136,0.079,4,0.14,0.08
