Cut,36.1/fb_weighted_yield,uncertainty,raw,PDG_rounded_yield,PDG_rounded_uncertainty
trigMatch_metTrig,41.138,1.305,1555,41.1,1.3
FS != 206 && FS != 207,41.138,1.305,1555,41.1,1.3
nLep_base==2,36.871,1.246,1383,36.9,1.2
nLep_signal==2,36.871,1.246,1383,36.9,1.2
lep1Flavor == lep2Flavor,32.328,1.200,1135,32.3,1.2
lep1Charge != lep2Charge,31.935,1.194,1121,31.9,1.2
((lep1TruthMatched && lep2TruthMatched) || (DatasetNumber >= 407311 && DatasetNumber <= 407315)),31.687,1.190,1111,31.7,1.2
(lep1Author != 16 && lep2Author != 16),31.420,1.187,1101,31.4,1.2
met_Et>200,31.420,1.187,1101,31.4,1.2
nBJet20_MV2c10 == 0,24.123,0.979,910,24.1,1.0
jetPt[0]>100,24.123,0.979,910,24.1,1.0
DPhiJ1Met > 2.0,24.042,0.978,906,24.0,1.0
minDPhiAllJetsMet > 0.4,22.243,0.950,826,22.2,1.0
(MTauTau < 0 || MTauTau > 160),19.250,0.887,724,19.2,0.9
lep1Pt > 5,19.221,0.886,723,19.2,0.9
mll > 1,19.221,0.886,723,19.2,0.9
(mll < 3 || mll > 3.2),19.190,0.886,721,19.2,0.9
mll < 60,19.190,0.886,721,19.2,0.9
Rll > 0.05,19.190,0.886,721,19.2,0.9
METOverHTLep > max(5.0; 15 - 2*mll),12.200,0.705,480,12.2,0.7
Rll < 2,8.905,0.639,325,8.9,0.6
mt_lep1 < 70,4.334,0.483,166,4.3,0.5
mll < 40,4.306,0.483,164,4.3,0.5
mll < 30,4.039,0.475,151,4.0,0.5
mll < 20,2.343,0.296,96,2.34,0.30
mll < 10,0.719,0.146,33,0.72,0.15
mll < 5,0.094,0.044,5,0.09,0.04
mll < 3,0.009,0.009,1,0.009,0.009
METOverHTLep > max(3.0; 15 - 2*(mt2leplsp_100 - 100)),15.276,0.806,572,15.3,0.8
mt2leplsp_100 < 130,12.831,0.746,491,12.8,0.7
mt2leplsp_100 < 120,10.991,0.705,420,11.0,0.7
mt2leplsp_100 < 110,6.092,0.487,253,6.1,0.5
mt2leplsp_100 < 105,2.669,0.279,116,2.67,0.28
mt2leplsp_100 < 102,0.605,0.133,27,0.60,0.13
