Cut,36.1/fb_weighted_yield,uncertainty,raw,PDG_rounded_yield,PDG_rounded_uncertainty
trigMatch_metTrig,624.276,7.767,76104,624,8
FS != 206 && FS != 207,624.276,7.767,76104,624,8
nLep_base==2,558.302,7.127,63097,558,7
nLep_signal==2,558.302,7.127,63097,558,7
lep1Flavor == lep2Flavor,298.190,5.834,34218,298,6
lep1Charge != lep2Charge,277.312,5.653,30106,277,6
((lep1TruthMatched && lep2TruthMatched) || (DatasetNumber >= 407311 && DatasetNumber <= 407315)),273.712,5.635,29869,274,6
(lep1Author != 16 && lep2Author != 16),271.540,5.624,29578,272,6
met_Et>200,271.540,5.624,29578,272,6
nBJet20_MV2c10 == 0,208.078,4.917,24006,208,5
jetPt[0]>100,208.078,4.917,24006,208,5
DPhiJ1Met > 2.0,204.844,4.908,23478,205,5
minDPhiAllJetsMet > 0.4,181.263,3.466,20243,181.3,3.5
(MTauTau < 0 || MTauTau > 160),157.579,3.223,17413,157.6,3.2
lep1Pt > 5,157.571,3.223,17411,157.6,3.2
mll > 1,153.628,2.968,17306,153.6,3.0
(mll < 3 || mll > 3.2),153.367,2.964,17290,153.4,3.0
mll < 60,153.367,2.964,17290,153.4,3.0
Rll > 0.05,152.243,2.930,17258,152.2,2.9
METOverHTLep > max(5.0; 15 - 2*mll),54.609,1.964,6156,54.6,2.0
Rll < 2,31.043,1.599,3736,31.0,1.6
mt_lep1 < 70,12.404,0.974,1710,12.4,1.0
mll < 40,10.730,0.932,1556,10.7,0.9
mll < 30,9.372,0.814,1369,9.4,0.8
mll < 20,6.255,0.744,1013,6.3,0.7
mll < 10,3.187,0.567,492,3.2,0.6
mll < 5,1.707,0.530,136,1.7,0.5
mll < 3,0.919,0.437,30,0.9,0.4
METOverHTLep > max(3.0; 15 - 2*(mt2leplsp_100 - 100)),88.854,2.383,10117,88.9,2.4
mt2leplsp_100 < 130,78.848,2.261,8998,78.8,2.3
mt2leplsp_100 < 120,59.613,1.830,7197,59.6,1.8
mt2leplsp_100 < 110,29.578,1.318,3579,29.6,1.3
mt2leplsp_100 < 105,7.576,0.671,937,7.6,0.7
mt2leplsp_100 < 102,1.300,0.165,164,1.30,0.16
