Cut,36.1/fb_weighted_yield,uncertainty,raw,PDG_rounded_yield,PDG_rounded_uncertainty
trigMatch_metTrig,170.865,2.710,38019,170.9,2.7
FS != 206 && FS != 207,170.865,2.710,38019,170.9,2.7
nLep_base==2,144.737,2.640,30737,144.7,2.6
nLep_signal==2,144.737,2.640,30737,144.7,2.6
lep1Flavor == lep2Flavor,76.692,1.930,16676,76.7,1.9
lep1Charge != lep2Charge,66.086,1.876,13898,66.1,1.9
((lep1TruthMatched && lep2TruthMatched) || (DatasetNumber >= 407311 && DatasetNumber <= 407315)),63.823,1.871,13389,63.8,1.9
(lep1Author != 16 && lep2Author != 16),62.900,1.816,13277,62.9,1.8
met_Et>200,62.900,1.816,13277,62.9,1.8
nBJet20_MV2c10 == 0,26.584,1.500,4772,26.6,1.5
jetPt[0]>100,26.584,1.500,4772,26.6,1.5
DPhiJ1Met > 2.0,26.384,1.499,4716,26.4,1.5
minDPhiAllJetsMet > 0.4,23.912,1.166,4455,23.9,1.2
(MTauTau < 0 || MTauTau > 160),15.354,0.922,1800,15.4,0.9
lep1Pt > 5,15.333,0.922,1797,15.3,0.9
mll > 1,15.300,0.921,1793,15.3,0.9
(mll < 3 || mll > 3.2),15.294,0.921,1792,15.3,0.9
mll < 60,15.294,0.921,1792,15.3,0.9
Rll > 0.05,15.287,0.921,1787,15.3,0.9
METOverHTLep > max(5.0; 15 - 2*mll),4.142,0.458,554,4.1,0.5
Rll < 2,3.130,0.438,377,3.1,0.4
mt_lep1 < 70,2.148,0.411,249,2.1,0.4
mll < 40,2.120,0.411,242,2.1,0.4
mll < 30,1.984,0.407,220,2.0,0.4
mll < 20,1.393,0.393,124,1.4,0.4
mll < 10,0.383,0.117,43,0.38,0.12
mll < 5,0.162,0.086,22,0.16,0.09
mll < 3,0.049,0.017,12,0.049,0.017
METOverHTLep > max(3.0; 15 - 2*(mt2leplsp_100 - 100)),7.549,0.530,994,7.5,0.5
mt2leplsp_100 < 130,7.367,0.529,948,7.4,0.5
mt2leplsp_100 < 120,6.852,0.522,869,6.9,0.5
mt2leplsp_100 < 110,3.165,0.427,491,3.2,0.4
mt2leplsp_100 < 105,0.448,0.079,105,0.45,0.08
mt2leplsp_100 < 102,0.035,0.015,11,0.035,0.015
